"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"102","102","","","2","300"
"102","102","GO201_26_2306","GO201_26_2","1",""
"102","102","GO201_26_2702","GO201_26_2","1",""
"102","102","GO201_26_2306","GO201_26_2_1","1",""
"102","102","GO201_26_2702","GO201_26_2_1","1",""
"102","102","GO201_26_2306","GO201_26_2_2","1",""
"102","102","GO201_26_2702","GO201_26_2_2","1",""
"102","102","GO201_26_814","GO201_26_4","1",""
"102","102","GO201_26_1612","GO201_26_4","1",""
"102","102","GO201_26_1524","GO201_26_8","1",""
"102","102","GO201_26_2724","GO201_26_8","1",""
"102","102","GO201_26_1524","GO201_26_10","1",""
"102","102","GO201_26_2724","GO201_26_10","1",""
"102","102","GO201_26_1298","GO201_26_12","1",""
"102","102","GO201_26_2350","GO201_26_12","1",""
"102","102","GO201_26_170","GO201_26_18","1",""
"102","102","GO201_26_2064","GO201_26_18","1",""
"102","102","GO201_26_2064","GO201_26_18_1","1",""
"102","102","GO201_26_2360","GO201_26_18_1","1",""
"102","102","GO201_26_1660","GO201_26_20","1",""
"102","102","GO201_26_2442","GO201_26_20_1","1",""
"102","102","GO201_26_770","GO201_26_22","1",""
"102","102","GO201_26_1064","GO201_26_22","1",""
"102","102","GO201_26_1978","GO201_26_26","1",""
"102","102","GO201_26_2784","GO201_26_26","1",""
"102","102","GO201_26_1978","GO201_26_26_1","1",""
"102","102","GO201_26_2784","GO201_26_26_1","1",""
"27","27","GO201_26_31","GO201_26_217","1",""
"27","27","GO201_26_196","GO201_26_32","1",""
"27","27","GO201_26_136","GO201_26_36","1",""
"27","27","GO201_26_148","GO201_26_38","1",""
"27","27","GO201_26_168","GO201_26_40","1",""
"27","27","GO201_26_41","GO201_26_133","1",""
"27","27","GO201_26_43","GO201_26_167","1",""
"102","102","GO201_26_272","GO201_26_44","1",""
"27","27","GO201_26_180","GO201_26_46","1",""
"102","102","GO201_26_192","GO201_26_48","1",""
"102","102","GO201_26_2788","GO201_26_48","1",""
"102","102","GO201_26_192","GO201_26_48_1","1",""
"102","102","GO201_26_2788","GO201_26_48_1","1",""
"27","27","GO201_26_120","GO201_26_56","1",""
"27","27","GO201_26_57","GO201_26_229","1",""
"27","27","GO201_26_124","GO201_26_58","1",""
"27","27","GO201_26_59","GO201_26_139","1",""
"27","27","GO201_26_128","GO201_26_60","1",""
"27","27","GO201_26_61","GO201_26_143","1",""
"102","102","GO201_26_716","GO201_26_62","1",""
"102","102","GO201_26_1916","GO201_26_62","1",""
"27","27","GO201_26_63","GO201_26_147","1",""
"27","27","GO201_26_132","GO201_26_64","1",""
"27","27","GO201_26_140","GO201_26_66","1",""
"27","27","GO201_26_67","GO201_26_155","1",""
"27","27","GO201_26_144","GO201_26_68","1",""
"27","27","GO201_26_69","GO201_26_163","1",""
"27","27","GO201_26_71","GO201_26_171","1",""
"27","27","GO201_26_73","GO201_26_177","1",""
"27","27","GO201_26_152","GO201_26_74","1",""
"27","27","GO201_26_75","GO201_26_181","1",""
"102","102","GO201_26_162","GO201_26_76","1",""
"102","102","GO201_26_754","GO201_26_76","1",""
"27","27","GO201_26_77","GO201_26_185","1",""
"27","27","GO201_26_164","GO201_26_78","1",""
"102","102","GO201_26_760","GO201_26_80","1",""
"102","102","GO201_26_1970","GO201_26_80","1",""
"27","27","GO201_26_268","GO201_26_82","1",""
"27","27","GO201_26_188","GO201_26_84","1",""
"27","27","GO201_26_89","GO201_26_169","1",""
"27","27","GO201_26_99","GO201_26_171","1",""
"102","102","GO201_26_102","GO201_26_502","1",""
"102","102","GO201_26_702","GO201_26_502","1",""
"102","102","GO201_26_702_1","GO201_26_502","1",""
"102","102","GO201_26_2406","GO201_26_502","1",""
"102","102","GO201_26_220","GO201_26_508","1",""
"102","102","GO201_26_1912","GO201_26_508","1",""
"102","102","GO201_26_814","GO201_26_510","1",""
"102","102","GO201_26_2014","GO201_26_510","1",""
"102","102","GO201_26_130","GO201_26_512","1",""
"102","102","GO201_26_1614","GO201_26_512","1",""
"102","102","GO201_26_722","GO201_26_516","1",""
"102","102","GO201_26_1924","GO201_26_516","1",""
"102","102","GO201_26_724","GO201_26_550","1",""
"102","102","GO201_26_1950","GO201_26_550","1",""
"102","102","GO201_26_1554","GO201_26_552","1",""
"102","102","GO201_26_2752","GO201_26_552","1",""
"102","102","GO201_26_1754","GO201_26_556","1",""
"102","102","GO201_26_2756","GO201_26_556","1",""
"102","102","GO201_26_860","GO201_26_558","1",""
"102","102","GO201_26_1150","GO201_26_558","1",""
"102","102","GO201_26_170","GO201_26_560","1",""
"102","102","GO201_26_2064","GO201_26_560","1",""
"102","102","GO201_26_268","GO201_26_562","1",""
"102","102","GO201_26_1060","GO201_26_562","1",""
"102","102","GO201_26_272","GO201_26_566","1",""
"102","102","GO201_26_876","GO201_26_568","1",""
"102","102","GO201_26_1572","GO201_26_568","1",""
"102","102","GO201_26_882","GO201_26_570","1",""
"102","102","GO201_26_1670","GO201_26_570","1",""
"102","102","GO201_26_784","GO201_26_574","1",""
"102","102","GO201_26_1586","GO201_26_574","1",""
"102","102","GO201_26_1590","GO201_26_576","1",""
"102","102","GO201_26_1590_1","GO201_26_576","1",""
"102","102","GO201_26_2788","GO201_26_576","1",""
"102","102","GO201_26_292","GO201_26_578","1",""
"102","102","GO201_26_1990","GO201_26_578","1",""
"102","102","GO201_26_1990_1","GO201_26_578","1",""
"132","132","GO201_26_1990_2","GO201_26_578","1",""
"91","91","GO201_26_1594","GO201_26_600","1",""
"102","102","GO201_26_102","GO201_26_604","1",""
"102","102","GO201_26_2702","GO201_26_604","1",""
"91","91","GO201_26_1608","GO201_26_606","1",""
"91","91","GO201_26_607","GO201_26_1509","1",""
"102","102","GO201_26_1914","GO201_26_608","1",""
"102","102","GO201_26_2716","GO201_26_608","1",""
"91","91","GO201_26_1514","GO201_26_610","1",""
"92","92","GO201_26_1918","GO201_26_614","1",""
"91","91","GO201_26_623","GO201_26_1523","1",""
"92","92","GO201_26_625","GO201_26_1527","1",""
"91","91","GO201_26_629","GO201_26_1535","1",""
"91","91","GO201_26_1524","GO201_26_650","1",""
"91","91","GO201_26_1552","GO201_26_652","1",""
"91","91","GO201_26_653","GO201_26_1555","1",""
"91","91","GO201_26_1558","GO201_26_654","1",""
"91","91","GO201_26_655","GO201_26_1655","1",""
"102","102","GO201_26_858","GO201_26_656","1",""
"102","102","GO201_26_2758","GO201_26_656","1",""
"102","102","GO201_26_1252","GO201_26_658","1",""
"102","102","GO201_26_1968","GO201_26_658","1",""
"102","102","GO201_26_760","GO201_26_660","1",""
"91","91","GO201_26_661","GO201_26_1575","1",""
"102","102","GO201_26_1660","GO201_26_662","1",""
"102","102","GO201_26_1972","GO201_26_662","1",""
"91","91","GO201_26_663","GO201_26_1581","1",""
"102","102","GO201_26_866","GO201_26_664","1",""
"91","91","GO201_26_665","GO201_26_1587","1",""
"91","91","GO201_26_665","GO201_26_1587_1","1",""
"91","91","GO201_26_667","GO201_26_1501","1",""
"91","91","GO201_26_667","GO201_26_1501_2","1",""
"102","102","GO201_26_1178","GO201_26_668","1",""
"102","102","GO201_26_2774","GO201_26_668","1",""
"91","91","GO201_26_1668","GO201_26_670","1",""
"91","91","GO201_26_1580","GO201_26_672","1",""
"102","102","GO201_26_288","GO201_26_674","1",""
"102","102","GO201_26_1584","GO201_26_674","1",""
"91","91","GO201_26_1588","GO201_26_676","1",""
"91","91","GO201_26_1588_1","GO201_26_676","1",""
"102","102","GO201_26_270","GO201_26_698","1",""
"102","102","GO201_26_1568","GO201_26_698","1",""
"63","63","GO201_26_701_1","GO201_26_1501_1","1",""
"63","63","GO201_26_1500_2","GO201_26_702_2","1",""
"63","63","GO201_26_703_1","GO201_26_1503_1","1",""
"63","63","GO201_26_1904_2","GO201_26_704_2","1",""
"63","63","GO201_26_705_1","GO201_26_1505_1","1",""
"63","63","GO201_26_1906_2","GO201_26_706_2","1",""
"179","179","GO201_26_903","GO201_26_1919","1",""
"179","179","GO201_26_2010","GO201_26_904","1",""
"179","179","GO201_26_905","GO201_26_1933","1",""
"179","179","GO201_26_1922","GO201_26_906","1",""
"179","179","GO201_26_951","GO201_26_1961","1",""
"179","179","GO201_26_1960","GO201_26_952","1",""
"179","179","GO201_26_953","GO201_26_2063","1",""
"179","179","GO201_26_1960","GO201_26_954","1",""
"179","179","GO201_26_2068","GO201_26_956","1",""
"179","179","GO201_26_957","GO201_26_1987","1",""
"102","102","GO201_26_6202","GO201_26_6002","1",""
"102","102","GO201_26_7900","GO201_26_6002","1",""
"102","102","GO201_26_7900_1","GO201_26_6002_1","1",""
"102","102","GO201_26_8702_1","GO201_26_6002_1","1",""
"102","102","GO201_26_6112","GO201_26_6006","1",""
"102","102","GO201_26_8710","GO201_26_6006","1",""
"102","102","GO201_26_7510_1","GO201_26_6006_1","1",""
"102","102","GO201_26_8710","GO201_26_6006_1","1",""
"102","102","GO201_26_7916","GO201_26_6008","1",""
"102","102","GO201_26_8712","GO201_26_6008","1",""
"102","102","GO201_26_7916_1","GO201_26_6008_1","1",""
"102","102","GO201_26_8712","GO201_26_6008_1","1",""
"102","102","GO201_26_7716","GO201_26_6010","1",""
"102","102","GO201_26_8304","GO201_26_6010","1",""
"102","102","GO201_26_7932","GO201_26_6012","1",""
"102","102","GO201_26_8720","GO201_26_6012","1",""
"102","102","GO201_26_7932_1","GO201_26_6012_1","1",""
"102","102","GO201_26_8720_1","GO201_26_6012_1","1",""
"102","102","GO201_26_6188","GO201_26_6014","1",""
"102","102","GO201_26_6270","GO201_26_6014","1",""
"102","102","GO201_26_6270_1","GO201_26_6014_1","1",""
"102","102","GO201_26_7988_1","GO201_26_6014_1","1",""
"27","27","GO201_26_6031","GO201_26_6113","1",""
"27","27","GO201_26_6033","GO201_26_6117","1",""
"27","27","GO201_26_6114","GO201_26_6034","1",""
"27","27","GO201_26_6035","GO201_26_6133","1",""
"27","27","GO201_26_6035","GO201_26_6133_1","1",""
"102","102","GO201_26_6216","GO201_26_6036","1",""
"102","102","GO201_26_7922","GO201_26_6036","1",""
"102","102","GO201_26_6216","GO201_26_6036_1","1",""
"102","102","GO201_26_7922_1","GO201_26_6036_1","1",""
"27","27","GO201_26_6037","GO201_26_6155","1",""
"102","102","GO201_26_6254","GO201_26_6038","1",""
"102","102","GO201_26_6854","GO201_26_6038","1",""
"102","102","GO201_26_6254_1","GO201_26_6038_1","1",""
"102","102","GO201_26_7960_1","GO201_26_6038_1","1",""
"102","102","GO201_26_7580","GO201_26_6040","1",""
"102","102","GO201_26_7580_1","GO201_26_6040","1",""
"102","102","GO201_26_8764","GO201_26_6040","1",""
"27","27","GO201_26_6041","GO201_26_6163","1",""
"27","27","GO201_26_6192","GO201_26_6042","1",""
"102","102","GO201_26_6274","GO201_26_6044","1",""
"102","102","GO201_26_6878","GO201_26_6044","1",""
"102","102","GO201_26_6878","GO201_26_6044_1","1",""
"102","102","GO201_26_7770_1","GO201_26_6044_1","1",""
"102","102","GO201_26_6120","GO201_26_6052","1",""
"102","102","GO201_26_8714","GO201_26_6052","1",""
"102","102","GO201_26_7518_1","GO201_26_6052_1","1",""
"102","102","GO201_26_8714","GO201_26_6052_1","1",""
"27","27","GO201_26_6126","GO201_26_6054","1",""
"27","27","GO201_26_6055","GO201_26_6151","1",""
"27","27","GO201_26_6130","GO201_26_6056","1",""
"27","27","GO201_26_6150","GO201_26_6058","1",""
"27","27","GO201_26_6059","GO201_26_6167","1",""
"27","27","GO201_26_6154","GO201_26_6060","1",""
"27","27","GO201_26_6061","GO201_26_6171","1",""
"27","27","GO201_26_6162","GO201_26_6062","1",""
"27","27","GO201_26_6168","GO201_26_6064","1",""
"27","27","GO201_26_6065","GO201_26_6183","1",""
"27","27","GO201_26_6065","GO201_26_6183_1","1",""
"102","102","GO201_26_6262","GO201_26_6066","1",""
"102","102","GO201_26_7972","GO201_26_6066","1",""
"102","102","GO201_26_6262_1","GO201_26_6066_1","1",""
"102","102","GO201_26_7972_1","GO201_26_6066_1","1",""
"27","27","GO201_26_6176","GO201_26_6068","1",""
"27","27","GO201_26_6184","GO201_26_6070","1",""
"27","27","GO201_26_6071","GO201_26_6195","1",""
"102","102","GO201_26_6702","GO201_26_6502","1",""
"102","102","GO201_26_6802","GO201_26_6502","1",""
"102","102","GO201_26_6214","GO201_26_6508","1",""
"102","102","GO201_26_7918","GO201_26_6508","1",""
"102","102","GO201_26_7918_1","GO201_26_6508","1",""
"102","102","GO201_26_6218","GO201_26_6512","1",""
"102","102","GO201_26_7926","GO201_26_6512","1",""
"102","102","GO201_26_7926_1","GO201_26_6512","1",""
"102","102","GO201_26_6250","GO201_26_6550","1",""
"102","102","GO201_26_7950","GO201_26_6550","1",""
"102","102","GO201_26_7950_1","GO201_26_6550","1",""
"102","102","GO201_26_6254","GO201_26_6554","1",""
"102","102","GO201_26_6254_1","GO201_26_6554","1",""
"102","102","GO201_26_7960","GO201_26_6554","1",""
"102","102","GO201_26_7960_1","GO201_26_6554","1",""
"102","102","GO201_26_6260","GO201_26_6558","1",""
"102","102","GO201_26_7968","GO201_26_6558","1",""
"102","102","GO201_26_7968_1","GO201_26_6558","1",""
"102","102","GO201_26_6264","GO201_26_6564","1",""
"102","102","GO201_26_7976","GO201_26_6564","1",""
"102","102","GO201_26_7976_1","GO201_26_6564","1",""
"102","102","GO201_26_6268","GO201_26_6570","1",""
"102","102","GO201_26_7984","GO201_26_6570","1",""
"102","102","GO201_26_7984_1","GO201_26_6570","1",""
"102","102","GO201_26_6274","GO201_26_6574","1",""
"102","102","GO201_26_7996","GO201_26_6574","1",""
"102","102","GO201_26_7996_1","GO201_26_6574","1",""
"91","91","GO201_26_7596","GO201_26_6600","1",""
"91","91","GO201_26_7596_1","GO201_26_6600","1",""
"102","102","GO201_26_6102","GO201_26_6602","1",""
"102","102","GO201_26_6202_1","GO201_26_6602","1",""
"102","102","GO201_26_8702","GO201_26_6602","1",""
"91","91","GO201_26_7506","GO201_26_6604","1",""
"91","91","GO201_26_7506_1","GO201_26_6604_1","1",""
"91","91","GO201_26_6607","GO201_26_7511","1",""
"91","91","GO201_26_6609","GO201_26_7517","1",""
"91","91","GO201_26_6609_1","GO201_26_7517","1",""
"91","91","GO201_26_7512","GO201_26_6610","1",""
"91","91","GO201_26_7512_1","GO201_26_6610_1","1",""
"91","91","GO201_26_6611","GO201_26_7521","1",""
"91","91","GO201_26_6611_1","GO201_26_7523","1",""
"91","91","GO201_26_7518","GO201_26_6612","1",""
"91","91","GO201_26_7518_1","GO201_26_6612_1","1",""
"91","91","GO201_26_6613","GO201_26_7527","1",""
"91","91","GO201_26_7524","GO201_26_6614","1",""
"91","91","GO201_26_7524_1","GO201_26_6614","1",""
"91","91","GO201_26_6615","GO201_26_7551","1",""
"91","91","GO201_26_7530","GO201_26_6650","1",""
"91","91","GO201_26_7530_1","GO201_26_6650","1",""
"91","91","GO201_26_7554","GO201_26_6652","1",""
"91","91","GO201_26_7554_1","GO201_26_6652","1",""
"91","91","GO201_26_6653","GO201_26_7557","1",""
"91","91","GO201_26_7560","GO201_26_6654","1",""
"91","91","GO201_26_7560_1","GO201_26_6654","1",""
"91","91","GO201_26_6655","GO201_26_7563","1",""
"91","91","GO201_26_7566","GO201_26_6656","1",""
"91","91","GO201_26_7566_1","GO201_26_6656","1",""
"91","91","GO201_26_6657","GO201_26_7569","1",""
"91","91","GO201_26_6659","GO201_26_7575","1",""
"91","91","GO201_26_7572","GO201_26_6660","1",""
"91","91","GO201_26_7572_1","GO201_26_6660","1",""
